,0,1
0,-0.6566,-0.0267
1,-0.6976,-0.3924
2,0.807,-0.4057
3,-0.3497,0.3591
4,0.7337,0.1472
5,-0.7403,0.3039
6,-0.5017,0.329
7,0.749,0.0657
8,0.6809,0.4487
9,0.8523,0.523
10,0.9635,-0.0984
11,0.9023,-0.1448
12,-0.636,0.4649
13,0.8753,-0.1514
14,-0.9286,-0.3711
15,-0.6646,0.3793
16,-0.1374,0.2269
17,0.9101,-0.0995
18,-0.665,0.544
19,-0.5185,0.658
20,0.9125,-0.0507
21,-0.771,-0.5789
22,0.7585,-0.5531
23,-0.9674,-0.2532
24,-0.3546,0.4181
25,0.7961,-0.3789
26,-0.7932,0.0125
27,0.815,-0.5081
28,-0.6505,0.4227
29,0.0444,-0.0535
30,-0.5877,0.5373
31,-0.9076,-0.3964
32,0.9196,-0.3929
33,0.9179,-0.2579
34,0.9873,-0.1587
35,-0.6574,0.207
36,0.9394,-0.3428
37,0.6788,0.3262
38,-0.6892,-0.098
39,-0.8877,-0.2951
40,0.2062,0.2726
41,-0.4282,0.5224
42,-0.9157,-0.4018
43,0.8034,-0.1076
44,0.8589,-0.2517
45,0.8323,0.5543
46,0.9007,-0.0348
47,-0.0481,-0.0794
48,-0.9316,-0.3634
49,-0.0369,-0.1232
50,-0.9041,-0.4273
51,-0.5552,0.3766
52,0.8566,-0.4823
53,-0.7587,-0.5438
54,0.6949,0.1794
55,-0.8662,-0.4102
56,0.9612,-0.124
57,-0.6399,0.4096
58,0.8752,-0.4837
59,0.8166,-0.5713
60,-0.6688,0.5645
61,0.8019,-0.1615
62,0.7847,-0.6199
63,0.8758,-0.106
64,0.0786,-0.1753
65,0.746,-0.666
66,0.6053,0.2832
67,-0.325,-0.0681
68,-0.4891,0.8222
69,-0.4423,0.3739
70,0.8156,-0.5787
71,0.9161,-0.0538
72,-0.4174,0.615
73,0.0535,-0.3734
74,0.7301,0.1296
75,0.8058,0.2567
76,-0.7692,-0.563
77,0.6777,0.2335
78,0.8488,-0.2362
79,0.2434,-0.4864
80,0.8095,-0.0387
81,0.1173,0.427
82,0.0338,0.4674
83,0.8796,-0.4758
84,0.8562,-0.2403
85,-0.5849,0.6592
86,-0.6133,0.6906
87,-0.1587,0.7671
88,0.8396,0.1826
89,-0.6482,0.4054
90,-0.4506,0.5849
91,0.8409,-0.1272
92,0.9349,-0.0245
93,-0.4868,0.398
94,0.8277,0.4981
95,0.9105,0.0489
96,-0.6906,0.2292
97,-0.7698,-0.5359
98,0.0631,0.0741
99,-0.5159,0.6606
100,-0.3263,0.3168
101,0.7833,0.6217
102,-0.655,0.0495
103,-0.4452,0.7706
104,-0.4968,0.2743
105,0.9141,-0.399
106,0.8067,0.1859
107,-0.0093,0.2506
108,-0.6279,0.3456
109,0.0496,0.0794
110,-0.5756,0.3885
111,0.1402,-0.1678
112,-0.7563,-0.6542
113,0.8634,-0.0766
114,-0.7697,-0.5628
115,0.8306,-0.3995
116,0.786,-0.1891
117,0.7978,-0.1536
118,0.6745,0.4439
119,0.074,0.1724
120,0.7032,-0.3013
121,-0.7633,-0.5745
122,-0.8196,-0.5729
123,0.8485,-0.0448
124,-0.5846,-0.1207
125,0.8434,0.03
126,0.7379,-0.4472
127,0.0412,-0.9076
128,-0.0226,0.6557
129,0.8426,-0.3772
130,0.8282,-0.1302
131,-0.547,0.2591
132,-0.6475,0.198
133,-0.2761,0.2972
134,-0.0919,-0.7323
135,0.7857,-0.2636
136,-0.649,0.0794
137,0.7887,-0.2
138,-0.4094,0.6549
139,-0.6441,0.1197
140,0.9157,-0.4019
141,0.8485,-0.1672
142,0.8146,0.5149
143,0.712,0.5584
144,0.8051,0.2289
145,0.8694,-0.4942
146,0.8478,-0.147
147,0.8807,-0.0434
148,-0.9812,-0.1928
149,-0.3462,0.3735
150,-0.4353,0.0937
151,0.8341,-0.3555
152,-0.6868,-0.4023
153,0.775,-0.0559
